Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category,Premium/Income Ratio,Policy Value/Income Ratio,Policy to Death Timeline,Death to Intimation Gap,Location Risk,Location-Based Risk,Occupation Risk Score,Product Type Risk,,Fraud Category
13,50,1,11,2000000,200000,4,7200000,0,1,12,10,26,14,560102,4,0,1,12/15/2022,2/21/2023,6/6/2023 9:48,1,3,8,0.027777777777777776,0.2777777777777778,68,105,26_14,190,0.3055555555555555,1.1111111111111112,,Misrepresentation
14,54,11,6,500000,50000,4,480000,0,1,12,10,394,16,457331,4,0,1,12/30/2022,3/9/2023,7/3/2023 12:19,1,3,8,0.10416666666666667,1.0416666666666667,69,116,394_16,329,0.625,4.166666666666667,,Misrepresentation
15,52,5,6,500000,50000,4,600000,0,1,12,10,179,29,201102,4,0,1,5/16/2023,5/27/2023,10/4/2023 10:54,1,3,8,0.083333333,0.8333333333333334,11,130,179_29,89,0.5,3.3333333333333335,,Misrepresentation
16,45,1,6,500000,50000,4,468000,0,1,12,10,404,29,244901,4,0,1,6/13/2023,9/14/2023,12/12/2023 10:37,1,3,8,0.10683760683760683,1.0683760683760684,93,89,404_29,341,0.641025641,4.273504273504273,,Misrepresentation
17,39,5,11,4000000,88548.5,4,420000,0,0,10,10,192,11,125047,3,0,1,1/29/2020,11/20/2022,6/26/2023 12:51,1,2,8,0.2108297619047619,9.523809523809524,1026,218,192_11,104,2.319127380952381,28.57142857142857,,Misrepresentation
18,40,12,11,1100000,27590.12,4,900000,0,1,10,10,354,1,524002,3,0,1,3/13/2020,2/14/2022,2/1/2023 10:43,1,3,8,0.030655688888888886,1.2222222222222223,703,352,354_1,285,0.33721257777777774,3.666666666666667,,Misrepresentation
19,51,12,11,700000,37863.18,4,480000,0,0,10,10,82,31,713102,3,0,1,10/30/2021,10/26/2022,2/2/2023 10:51,1,3,8,0.078881625,1.4583333333333333,361,99,82_31,493,0.867697875,4.375,,Misrepresentation
20,40,12,11,1316000,33007.82,4,700000,0,1,10,10,116,14,580020,3,0,1,11/20/2021,10/20/2022,12/14/2023 12:17,1,3,8,0.047154029,1.88,334,420,116_14,19,0.5186943142857143,5.64,,Misrepresentation
21,54,10,8,2300000,137412.76,4,780000,0,0,16,10,170,1,522006,3,0,1,1/19/2022,2/2/2023,5/23/2023 11:45,1,3,8,0.17617020512820514,2.948717948717949,379,110,170_1,80,1.409361641025641,8.846153846153847,,Misrepresentation
22,43,11,11,1300000,40302.86,4,624000,0,1,10,10,292,24,141401,3,0,1,6/7/2022,8/22/2023,11/3/2023 14:06,1,3,8,0.064587917,2.0833333333333335,441,73,292_24,216,0.7104670833333333,6.25,,Misrepresentation
23,53,12,11,700000,42372.4,4,540000,0,0,10,10,299,21,757026,3,0,1,9/29/2022,11/24/2022,7/6/2023 9:32,1,3,8,0.078467407,1.2962962962962963,56,224,299_21,223,0.8631414814814816,3.888888888888889,,Misrepresentation
24,34,5,11,1700000,29150.46,4,660000,0,0,10,10,123,4,846005,3,0,1,11/30/2022,12/28/2022,2/2/2023 10:50,1,3,8,0.044167364,2.5757575757575757,28,36,123_4,27,0.485841,7.727272727272727,,Misrepresentation
25,51,10,11,800000,42904.1,4,1000000,0,0,10,10,459,11,125055,3,0,1,11/29/2022,9/2/2023,12/12/2023 10:20,1,3,8,0.0429041,0.8,277,101,459_11,402,0.4719451,2.4000000000000004,,Misrepresentation
26,42,6,11,700000,20978.64,4,780000,0,1,10,10,281,26,635104,3,0,1,1/31/2023,3/18/2023,12/6/2023 17:56,1,3,8,0.026895692307692308,0.8974358974358975,46,263,281_26,203,0.2958526153846154,2.6923076923076925,,Misrepresentation
27,40,5,11,1300000,32606.5,4,800000,0,1,10,10,506,13,833201,3,0,1,5/19/2023,7/10/2023,11/21/2023 16:18,1,3,8,0.040758125,1.625,52,134,506_13,455,0.448339375,4.875,,Misrepresentation
28,31,6,11,4200000,600000,4,2400000,1,1,15,10,405,13,835217,4,0,1,3/9/2023,6/8/2023,11/15/2023 14:54,1,3,8,0.25,1.75,91,160,405_13,342,2.75,7,,Misrepresentation
29,34,11,10,410000,25482.56,0,249000,0,1,20,10,50,31,731238,3,3,Unknown,7/31/2022,11/11/2022,6/26/2023 10:56,1,3,8,0.1023395983935743,1.6465863453815262,103,227,50_31,458,1.023395983935743,4.9397590361445785,,Misrepresentation
30,55,12,11,1200000,120000,1,720000,0,0,10,10,100,2,792056,4,3,Unknown,2/4/2021,9/23/2022,1/18/2023 12:40,1,3,8,0.16666666666666666,1.6666666666666667,596,117,100_2,2,1.8333333333333333,6.666666666666667,,Misrepresentation
31,13,2,0,420000,51125,4,504000,0,1,15,10,337,27,508202,3,0,1,12/25/2021,1/20/2023,2/16/2023 11:57,1,3,8,0.10143849206349206,0.8333333333333334,391,27,337_27,266,0,2.5,,Misrepresentation
32,28,12,11,420000,51125,4,480000,0,1,15,10,10,4,854318,3,0,1,8/29/2022,,,3,0,8,0.10651041666666666,0.875,,,10_4,12,1.1716145833333333,2.625,,Misrepresentation
33,32,12,0,420000,51125,4,300000,0,1,15,10,236,27,500078,3,0,2,2/2/2023,10/21/2023,12/15/2023 13:47,1,3,8,0.17041666666666666,1.4,261,55,236_27,153,0,4.199999999999999,,Misrepresentation
34,42,12,11,10000000,75055.44,1,2016000,0,0,43,10,284,1,518501,3,3,Unknown,2/11/2022,4/7/2022,1/5/2023 11:29,1,3,8,0.037229881,4.9603174603174605,55,273,284_1,206,0.40952869047619045,14.880952380952381,,Misrepresentation
35,55,11,11,1100000,102250,4,864000,0,0,26,10,33,7,494331,3,3,Unknown,4/22/2022,10/21/2022,3/1/2023 11:23,1,3,8,0.11834490740740741,1.2731481481481481,182,131,33_7,269,1.3017939814814816,3.8194444444444446,,Misrepresentation
36,44,5,11,1100000,104500,4,600000,0,1,26,10,85,29,232107,3,3,Unknown,6/14/2022,,,0,11,8,0.17416666666666666,1.8333333333333333,,,85_29,496,1.9158333333333333,5.5,,Misrepresentation
37,36,11,0,1100000,106590,0,360000,0,1,36,10,479,16,456665,3,3,Unknown,11/4/2022,12/20/2022,3/1/2023 10:30,1,3,8,0.2960833333333333,3.0555555555555554,46,71,479_16,424,0,9.166666666666666,,Misrepresentation
38,36,12,4,550000,51125,4,420000,0,1,36,10,37,14,591344,3,3,Unknown,11/23/2022,5/13/2023,7/6/2023 11:09,1,3,8,0.12172619047619047,1.3095238095238095,171,54,37_14,313,0.4869047619047619,3.928571428571429,,Misrepresentation
39,48,12,0,1100000,106590,0,660000,0,0,36,10,43,25,311301,3,3,Unknown,1/10/2023,1/24/2023,8/11/2023 10:38,1,3,8,0.1615,1.6666666666666667,14,199,43_25,380,0,5,,Misrepresentation
40,33,5,11,135000,10235.49,4,180000,0,1,15,10,488,16,464001,3,3,Unknown,12/15/2021,3/31/2022,2/10/2023 11:25,1,3,8,0.056863833,0.75,106,316,488_16,434,0.6255021666666666,2.25,,Misrepresentation
41,35,12,2,800000,25456.16,4,360000,0,0,30,10,441,7,497333,3,3,Unknown,10/7/2022,10/22/2022,5/5/2023 10:41,1,3,8,0.070711556,2.2222222222222223,15,195,441_7,383,0.1414231111111111,6.666666666666667,,Misrepresentation
42,29,2,0,1000000,38497.8,4,240000,1,1,25,10,157,9,382308,3,3,Unknown,5/23/2023,,,0,11,8,0.1604075,4.166666666666667,,,157_9,64,0,12.5,,Misrepresentation
43,42,11,11,500000,50000,4,540000,0,1,15,10,391,26,623525,4,3,Unknown,11/9/2022,2/13/2023,6/15/2023 14:20,1,9,8,0.092592593,0.9259259259259259,96,122,391_26,326,1.0185185185185184,3.7037037037037037,,Misrepresentation
44,44,12,2,2100000,300000,4,1500000,0,1,10,10,404,29,244901,4,0,1,1/13/2022,12/15/2022,2/22/2023 10:42,1,3,8,0.2,1.4,336,69,404_29,341,0.4,5.6,,Misrepresentation
45,57,12,11,4200000,600000,4,1800000,0,1,10,10,379,4,800012,4,0,1,11/1/2021,,,0,11,8,0.3333333333333333,2.3333333333333335,,,379_4,312,3.6666666666666665,9.333333333333334,,Misrepresentation
46,61,5,8,0,400000,4,1700000,0,1,10,10,98,31,700023,4,3,Unknown,3/31/2021,,,0,11,8,0.23529411764705882,0,,,98_31,510,1.8823529411764706,0,,Misrepresentation
47,65,12,9,0,200000,4,576000,0,1,10,10,321,29,250001,4,0,1,7/28/2021,,,0,11,8,0.3472222222222222,0,,,321_29,249,3.125,0,,Misrepresentation
48,40,6,11,0,500000,4,1500000,1,1,10,10,101,26,600102,4,0,1,9/20/2021,,,0,11,8,0.3333333333333333,0,,,101_26,3,3.6666666666666665,0,,Misrepresentation
49,60,10,4,0,100000,3,600000,0,1,15,10,355,8,110046,4,0,1,11/1/2021,,,0,11,8,0.16666666666666666,0,,,355_8,286,0.6666666666666666,0,,Misrepresentation
50,60,10,4,0,100000,4,600000,0,1,15,10,355,8,110046,4,0,1,10/20/2021,,,0,11,8,0.16666666666666666,0,,,355_8,286,0.6666666666666666,0,,Misrepresentation
51,44,12,11,0,500000,4,1500000,0,1,10,10,152,11,125120,4,0,1,4/29/2022,,,3,15,8,0.3333333333333333,0,,,152_11,59,3.6666666666666665,0,,Misrepresentation
52,57,10,9,0,500000,4,1500000,0,1,10,10,61,14,560038,4,0,1,8/23/2022,,,0,11,8,0.3333333333333333,0,,,61_14,470,3,0,,Misrepresentation
53,70,11,9,0,500000,4,1250000,0,1,10,10,44,11,127021,4,0,1,10/21/2022,,,0,11,8,0.4,0,,,44_11,392,3.6,0,,Misrepresentation
54,60,10,9,0,200000,4,2400000,0,1,10,10,211,25,303103,4,0,1,4/25/2023,,,0,11,8,0.083333333,0,,,211_25,126,0.75,0,,Misrepresentation
55,22,6,11,400000,5000,4,400000,1,1,10,10,331,31,741249,3,3,Unknown,3/31/2023,,,6,1,8,0.0125,1,,,331_31,260,0.1375,3,,Misrepresentation
56,42,0,0,500000,50000,4,600000,1,1,12,10,292,24,141414,4,0,1,1/4/2021,,,0,11,8,0.083333333,0.8333333333333334,,,292_24,216,0,3.3333333333333335,,Misrepresentation
57,30,6,11,2000000,200000,4,624000,0,1,12,10,463,11,131408,4,0,1,8/12/2021,,,0,11,8,0.32051282051282054,3.2051282051282053,,,463_11,407,3.525641025641026,12.820512820512821,,Misrepresentation
58,30,6,11,2000000,200000,4,660000,0,1,12,10,463,11,131402,4,0,1,8/23/2021,,,0,11,8,0.30303030303030304,3.0303030303030303,,,463_11,407,3.3333333333333335,12.121212121212121,,Misrepresentation
59,24,6,11,2000000,200000,4,744000,0,1,12,10,463,11,131402,4,0,1,9/6/2021,,,0,11,8,0.26881720430107525,2.6881720430107525,,,463_11,407,2.956989247311828,10.75268817204301,,Misrepresentation
60,35,5,11,1500000,150000,4,780000,0,1,12,10,192,11,125001,4,0,1,11/23/2021,,,3,15,8,0.19230769230769232,1.9230769230769231,,,192_11,104,2.1153846153846154,7.6923076923076925,,Misrepresentation
61,30,11,11,2000000,200000,4,1800000,0,1,12,10,468,17,400614,4,0,1,12/14/2021,,,0,11,8,0.1111111111111111,1.1111111111111112,,,468_17,412,1.222222222222222,4.444444444444445,,Misrepresentation
62,30,2,11,2000000,200000,4,600000,1,1,12,10,301,29,250003,4,0,1,6/24/2022,,,0,11,8,0.3333333333333333,3.3333333333333335,,,301_29,227,3.6666666666666665,13.333333333333334,,Misrepresentation
63,40,12,11,2000000,200000,4,650000,0,1,12,10,264,31,700099,4,0,1,8/18/2022,,,0,11,8,0.3076923076923077,3.076923076923077,,,264_31,184,3.384615384615385,12.307692307692308,,Misrepresentation
64,48,12,11,500000,50000,4,480000,0,1,12,10,343,8,110036,4,0,1,8/26/2022,,,0,11,8,0.10416666666666667,1.0416666666666667,,,343_8,273,1.1458333333333335,4.166666666666667,,Misrepresentation
65,47,1,11,2000000,200000,4,720000,0,1,12,10,304,24,140603,4,3,Unknown,12/6/2022,,,2,1,8,0.2777777777777778,2.7777777777777777,,,304_24,230,3.055555555555556,11.11111111111111,,Misrepresentation
66,54,1,11,500000,50000,4,720000,0,1,12,10,308,17,400081,4,0,1,11/29/2022,,,0,11,8,0.069444444,0.6944444444444444,,,308_17,234,0.763888889,2.7777777777777777,,Misrepresentation
67,48,1,11,999000,99900,4,1000000,0,1,12,10,293,26,625706,4,0,1,12/5/2022,,,0,11,8,0.0999,0.999,,,293_26,217,1.0989,3.996,,Misrepresentation
68,30,1,11,500000,50000,4,600000,3,1,12,10,275,13,825410,4,3,Unknown,9/30/2023,,,2,1,8,0.083333333,0.8333333333333334,,,275_13,196,0.9166666666666666,3.3333333333333335,,Misrepresentation
69,30,10,11,1000000,100000,4,600000,3,1,12,10,275,13,825410,4,3,Unknown,10/23/2023,,,2,1,8,0.16666666666666666,1.6666666666666667,,,275_13,196,1.8333333333333333,6.666666666666667,,Misrepresentation
70,30,10,11,500000,50000,4,600000,3,1,12,10,275,13,825410,4,3,Unknown,11/10/2023,,,2,1,8,0.083333333,0.8333333333333334,,,275_13,196,0.9166666666666666,3.3333333333333335,,Misrepresentation
71,41,12,0,1500000,150000,4,500000,0,1,15,10,200,25,335801,4,3,Unknown,10/11/2023,,,8,8,8,0.3,3,,,200_25,114,0,12,,Misrepresentation
72,40,10,2,330000,52686.18,4,360000,0,1,12,10,286,29,226003,3,0,1,7/15/2022,,,0,11,8,0.1463505,0.9166666666666666,,,286_29,208,0.292701,2.75,,Misrepresentation
73,41,6,11,1270500,172425,4,600000,1,1,15,10,350,26,637409,3,0,1,9/3/2020,,,0,11,8,0.287375,2.1175,,,350_26,281,3.1611249999999997,6.352500000000001,,Misrepresentation
74,40,11,11,420000,52250,4,780000,0,1,15,10,23,21,756002,3,0,1,6/23/2022,,,0,11,8,0.066987179,0.5384615384615384,,,23_21,157,0.7368589743589743,1.6153846153846154,,Misrepresentation
75,38,10,11,840000,104500,4,480000,0,1,15,10,343,8,110064,3,0,1,9/6/2022,,,0,11,8,0.21770833333333334,1.75,,,343_8,273,2.394791666666667,5.25,,Misrepresentation
76,27,10,6,420000,52250,4,600000,0,1,15,10,293,26,625105,3,0,1,11/4/2022,,,0,11,8,0.087083333,0.7,,,293_26,217,0.5225,2.0999999999999996,,Misrepresentation
77,27,1,6,420000,52250,4,600000,0,1,15,10,293,26,625105,3,0,1,11/4/2022,,,0,11,8,0.087083333,0.7,,,293_26,217,0.5225,2.0999999999999996,,Misrepresentation
78,48,1,11,1158000,201685,4,1000000,0,1,12,10,293,26,625706,3,0,1,1/11/2023,,,0,11,8,0.201685,1.158,,,293_26,217,2.218535,3.4739999999999998,,Misrepresentation
79,58,1,9,315000,51125,4,300000,3,0,15,10,329,29,247776,3,3,Unknown,2/27/2023,3/8/2023,10/5/2023 13:08,1,2,8,0.17041666666666666,1.05,9,211,329_29,257,1.53375,3.1500000000000004,,Misrepresentation
80,75,10,9,0,9999999.99,3,20000000,0,1,45,10,334,17,440023,2,0,1,8/4/2023,,,0,11,8,0.5,0,,,334_17,263,4.4999999955000005,0,,Misrepresentation
81,34,12,11,1100000,104500,4,708000,0,1,23,10,155,11,121004,3,0,1,3/22/2022,,,0,11,8,0.1475988700564972,1.5536723163841808,,,155_11,62,1.623587570621469,4.661016949152542,,Misrepresentation
82,33,11,11,550000,51125,4,600000,0,1,26,10,308,17,400042,3,1,Unknown,4/28/2022,,,3,0,8,0.085208333,0.9166666666666666,,,308_17,234,0.9372916666666666,2.75,,Misrepresentation
83,57,12,9,1100000,104500,4,1600000,0,0,23,10,396,11,124022,3,0,1,7/27/2022,,,0,11,8,0.0653125,0.6875,,,396_11,331,0.5878125,2.0625,,Misrepresentation
84,56,12,11,1650000,156750,4,720000,0,0,36,10,91,25,312001,3,3,Unknown,8/6/2022,,,8,8,8,0.21770833333333334,2.2916666666666665,,,91_25,503,2.394791666666667,6.875,,Misrepresentation
85,37,5,11,1650000,153375,4,720000,0,1,36,10,362,11,134112,3,3,Unknown,8/2/2022,,,2,1,8,0.21302083333333333,2.2916666666666665,,,362_11,294,2.3432291666666667,6.875,,Misrepresentation
86,45,5,8,1100000,104500,4,420000,0,1,36,10,325,24,160104,3,3,Unknown,9/1/2022,,,0,11,8,0.2488095238095238,2.619047619047619,,,325_24,253,1.9904761904761905,7.857142857142858,,Misrepresentation
87,47,1,11,2200000,209000,4,720000,0,0,36,10,304,24,140603,3,3,Unknown,9/10/2022,,,8,8,8,0.2902777777777778,3.0555555555555554,,,304_24,230,3.193055555555556,9.166666666666666,,Misrepresentation
88,18,6,12,1650000,156750,4,840000,1,1,36,10,43,25,311011,3,3,Unknown,8/24/2022,,,8,8,8,0.18660714285714286,1.9642857142857142,,,43_25,380,2.2392857142857143,5.892857142857142,,Misrepresentation
89,21,6,11,2200000,204500,4,1440000,1,1,36,10,43,25,311001,3,3,Unknown,8/25/2022,,,3,0,8,0.14201388888888888,1.5277777777777777,,,43_25,380,1.5621527777777777,4.583333333333333,,Misrepresentation
90,45,5,11,2200000,204500,4,1900000,0,1,36,10,91,25,312001,3,3,Unknown,9/13/2022,,,2,1,8,0.10763157894736843,1.1578947368421053,,,91_25,503,1.1839473684210526,3.473684210526316,,Misrepresentation
91,56,11,11,2200000,204500,4,1100000,0,0,26,10,43,25,311001,3,3,Unknown,9/30/2022,,,3,0,8,0.1859090909090909,2,,,43_25,380,2.045,6,,Misrepresentation
92,48,5,11,1100000,104500,4,540000,0,1,26,10,174,16,474005,3,0,1,9/7/2022,,,0,11,8,0.1935185185185185,2.037037037037037,,,174_16,84,2.1287037037037035,6.111111111111112,,Misrepresentation
93,10,11,8,1100000,104500,4,2400000,0,1,26,10,291,29,226001,3,3,Unknown,10/26/2022,,,0,11,8,0.043541666666666666,0.4583333333333333,,,291_29,215,0.34833333333333333,1.375,,Misrepresentation
94,10,11,8,1100000,104500,4,2400000,0,1,26,10,291,29,226001,3,3,Unknown,10/28/2022,,,0,11,8,0.043541666666666666,0.4583333333333333,,,291_29,215,0.34833333333333333,1.375,,Misrepresentation
95,27,2,11,2750000,255625,4,1200000,1,1,36,10,91,25,312001,3,3,Unknown,12/13/2022,,,2,1,8,0.21302083333333333,2.2916666666666665,,,91_25,503,2.3432291666666667,6.875,,Misrepresentation
96,21,6,11,3300000,306750,4,1440000,1,1,36,10,43,25,311001,3,3,Unknown,12/9/2022,,,3,0,8,0.21302083333333333,2.2916666666666665,,,43_25,380,2.3432291666666667,6.875,,Misrepresentation
97,15,11,11,4675000,444125,4,6000000,0,1,36,10,375,11,134112,3,3,Unknown,1/24/2023,,,0,11,8,0.074020833,0.7791666666666667,,,375_11,308,0.8142291666666666,2.3375,,Misrepresentation
98,29,6,11,2750000,261250,4,936000,1,1,36,10,362,11,134113,3,3,Unknown,12/15/2022,,,0,11,8,0.27911324786324787,2.9380341880341883,,,362_11,294,3.0702457264957266,8.814102564102566,,Misrepresentation
99,26,6,11,2750000,261250,4,720000,1,1,36,10,362,11,134113,3,3,Unknown,12/17/2022,,,0,11,8,0.3628472222222222,3.8194444444444446,,,362_11,294,3.991319444444444,11.458333333333334,,Misrepresentation
100,19,6,12,3300000,319770,0,1440000,1,1,31,10,91,25,312001,3,3,Unknown,12/29/2022,,,0,11,8,0.2220625,2.2916666666666665,,,91_25,503,2.6647499999999997,6.875,,Misrepresentation
101,28,2,10,5500000,511250,4,2000000,1,1,36,10,86,5,160019,3,3,Unknown,1/25/2023,,,2,1,8,0.255625,2.75,,,86_5,497,2.55625,8.25,,Misrepresentation
102,30,6,11,6600000,627000,4,1920000,1,0,36,10,102,25,312001,3,3,Unknown,1/25/2023,,,8,8,8,0.3265625,3.4375,,,102_25,4,3.5921874999999996,10.3125,,Misrepresentation
103,42,12,2,770000,74613,0,500000,0,1,36,10,21,29,243633,3,1,Unknown,3/10/2023,5/20/2023,7/19/2023 10:21,1,2,8,0.149226,1.54,71,60,21_29,135,0.298452,4.62,,Misrepresentation
104,46,12,11,1650000,156750,4,750000,0,1,26,10,478,25,313906,3,3,Unknown,3/24/2023,,,0,11,8,0.209,2.2,,,478_25,423,2.299,6.6000000000000005,,Misrepresentation
105,45,6,11,0,500000,4,1300000,0,1,10,10,13,9,380058,2,0,1,11/17/2023,,,2,1,8,0.38461538461538464,0,,,13_9,45,4.230769230769231,0,,Misrepresentation
106,51,12,11,300000,31977,0,1000000,0,0,49,10,15,24,305901,3,3,Unknown,2/15/2023,2/13/2024,3/29/2024 14:57,1,3,8,0.031977,0.3,363,45,15_24,67,0.351747,0.8999999999999999,,Misrepresentation
107,43,6,11,1500000,150000,4,960000,0,1,12,10,314,26,625002,4,0,1,4/26/2021,,,0,11,8,0.15625,1.5625,,,314_26,241,1.71875,6.25,,Misrepresentation
108,49,12,11,2100000,300000,4,800000,0,1,12,10,82,31,713102,4,0,1,11/23/2023,,,0,11,8,0.375,2.625,,,82_31,493,4.125,10.5,,Misrepresentation
109,46,11,6,1850000,332403,4,1000000,0,1,15,10,162,12,174028,3,0,1,4/24/2023,,,0,11,2,0.332403,1.85,,,162_12,71,1.994418,5.550000000000001,,Document Tampering
110,25,2,12,4200000,600000,4,840000,1,1,10,10,419,12,171009,4,0,1,4/24/2023,,,2,1,2,0.7142857142857143,5,,,419_12,357,8.571428571428571,20,,Document Tampering
111,8,11,9,4200000,600000,4,1200000,0,1,10,10,303,24,142001,4,0,1,5/15/2023,,,2,1,2,0.5,3.5,,,303_24,229,4.5,14,,Document Tampering
112,54,5,6,4200000,600000,4,2000000,0,0,10,10,419,12,171006,4,0,1,5/25/2023,,,2,1,2,0.3,2.1,,,419_12,357,1.7999999999999998,8.4,,Document Tampering
113,18,2,12,4200000,600000,4,2000000,1,1,10,10,287,24,141008,4,0,1,5/18/2023,,,2,1,2,0.3,2.1,,,287_24,210,3.5999999999999996,8.4,,Document Tampering
114,23,2,12,4200000,600000,4,2000000,1,1,10,10,395,11,123401,4,0,1,6/26/2023,,,2,1,2,0.3,2.1,,,395_11,330,3.5999999999999996,8.4,,Document Tampering
115,18,2,12,4200000,600000,4,1500000,1,1,10,10,425,12,173025,4,0,1,6/30/2023,,,2,1,2,0.4,2.8,,,425_12,364,4.800000000000001,11.2,,Document Tampering
116,18,2,12,4200000,600000,4,1500000,1,1,10,10,303,24,142001,4,0,1,7/17/2023,,,2,1,2,0.4,2.8,,,303_24,229,4.800000000000001,11.2,,Document Tampering
117,13,11,9,4200000,600000,4,2160000,0,1,10,10,225,24,144002,4,0,1,8/14/2023,,,2,1,2,0.2777777777777778,1.9444444444444444,,,225_24,141,2.5,7.777777777777778,,Document Tampering
118,20,2,12,4200000,600000,4,2400000,1,1,10,10,0,0,-,4,0,1,8/23/2023,,,2,1,2,0.25,1.75,,,0_0,0,3,7,,Document Tampering
119,19,2,12,4200000,600000,4,2000000,1,1,10,10,0,0,-,4,0,1,8/28/2023,,,2,1,2,0.3,2.1,,,0_0,0,3.5999999999999996,8.4,,Document Tampering
120,22,2,12,4200000,600000,4,3000000,0,1,10,10,17,11,134003,4,0,1,9/12/2023,,,2,1,2,0.2,1.4,,,17_11,90,2.4000000000000004,5.6,,Document Tampering
121,13,11,9,4200000,600000,4,2160000,0,1,10,10,225,24,144002,4,0,1,9/18/2023,,,2,1,2,0.2777777777777778,1.9444444444444444,,,225_24,141,2.5,7.777777777777778,,Document Tampering
122,25,6,12,4200000,600000,4,2400000,1,1,10,10,378,24,147001,4,0,1,10/12/2023,,,2,1,2,0.25,1.75,,,378_24,311,3,7,,Document Tampering
123,20,6,12,3150000,511250,4,2550000,1,1,12,10,431,12,173212,3,0,1,8/9/2023,,,2,1,2,0.20049019607843138,1.2352941176470589,,,431_12,371,2.405882352941177,3.7058823529411766,,Document Tampering
124,22,2,12,3150000,511250,4,2000000,1,1,12,10,461,12,173212,3,0,1,8/9/2023,,,2,1,2,0.255625,1.575,,,461_12,405,3.0675,4.725,,Document Tampering
